Date of Arrest (DoA),Year/Month,Charge 1,Charge 2,Charge 3,SEX,RACE,Age (on DoA),Primary Charge,Code,Age Group,Eth/Race
09/28/2017,2017-September,11377(A) HS,11364(a) HS,,M,White,52,Possession - controlled subst,Health & Safety,46-55,White
09/28/2017,2017-September,288.3 PC,288.4 PC,,M,White,60,Child sex,Penal Code - Against person,56-65,White
09/29/2017,2017-September,23152(a) VC,23152(b) VC,,M,White,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
09/29/2017,2017-September,11364(a) HS,148.9(A) PC,647(f) PC,M,White,35,Drug paraphernalia,Health & Safety,26-35,White
10/01/2017,2017-October,647(f) PC,,,M,White,26,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
10/01/2017,2017-October,148(a)(1) PC,647(f) PC,,M,White,29,Resist Arrest,Penal Code - Public Justice,26-35,White
10/02/2017,2017-October,11377(A) HS,,,M,White,55,Possession - controlled subst,Health & Safety,46-55,White
10/03/2017,2017-October,245(A)(2) PC,246 PC,246.3 PC,M,Hispanic,21,Assault with a deadly weapon,Penal Code - Against person,18-25,Hispanic
10/03/2017,2017-October,11364(a) HS,,,M,Other,26,Drug paraphernalia,Health & Safety,26-35,Other
10/03/2017,2017-October,11364(a) HS,466 PC,,M,White,35,Drug paraphernalia,Health & Safety,26-35,White
10/03/2017,2017-October,11364(a) HS,11364(a) HS,,F,White,56,Drug paraphernalia,Health & Safety,56-65,White
10/04/2017,2017-October,10851(A) VC,11377(A) HS,,M,Hispanic,32,car theft or tampering,Vehicle Code,26-35,Hispanic
10/04/2017,2017-October,4060 BP,496(A) PC,,F,White,26,Possession - controlled subst,Business & Prof,26-35,White
10/04/2017,2017-October,11364(a) HS,B/W FEL,,M,White,36,Drug paraphernalia,Health & Safety,36-45,White
10/04/2017,2017-October,10851(A) VC,,,M,White,51,car theft or tampering,Vehicle Code,46-55,White
10/05/2017,2017-October,242 PC,422.7(A) PC,,F,Hispanic,24,Battery,Penal Code - Against person,18-25,Hispanic
10/05/2017,2017-October,459 PC,530.5(a) PC,,F,White,57,Burglary,Penal Code - Property Crimes,56-65,White
10/06/2017,2017-October,23152(a) VC,23152(b) VC,,M,White,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
10/06/2017,2017-October,243(b) PC,647(f) PC,,M,White,50,Battery on a PO,Penal Code - Against person,46-55,White
10/07/2017,2017-October,496(A) PC,11350(A) HS,11364(a) HS,M,White,38,Receives Stolen Property,Penal Code - Larceny,36-45,White
10/07/2017,2017-October,11550(A) HS,,,F,White,41,Under the Influence - Narcotics,Health & Safety,36-45,White
10/07/2017,2017-October,240 PC,242 PC,,M,White,50,Assault,Penal Code - Against person,46-55,White
10/08/2017,2017-October,23153(a) VC,23153(b) VC,,M,White,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
10/08/2017,2017-October,11350(A) HS,11364(a) HS,O/W MISD,F,White,28,Possession - controlled subst,Health & Safety,26-35,White
10/08/2017,2017-October,148(a)(1) PC,148.9(A) PC,O/W FEL,M,White,34,Resist Arrest,Penal Code - Public Justice,26-35,White
10/08/2017,2017-October,30305(a)(1) PC,O/W FEL,O/W MISD,M,White,36,Poss Firearm by Prohibited Person,Penal Code - Weapons,36-45,White
10/08/2017,2017-October,647(f) PC,,,M,White,55,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
10/09/2017,2017-October,182(A)(1) PC,22610(a) PC,459 PC,M,Other,25,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,Other
10/09/2017,2017-October,647(f) PC,,,M,White,25,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
10/09/2017,2017-October,182(A)(1) PC,22610(a) PC,459 PC,M,White,35,Conspiracy to commit a crime,Penal Code - Public Justice,26-35,White
10/09/2017,2017-October,664/10851(A) VC,11364(a) HS,,M,White,54,Att Car Theft,Penal Code - Property Crimes,46-55,White
10/11/2017,2017-October,496(A) PC,11377(A) HS,,F,Korean,23,Receives Stolen Property,Penal Code - Larceny,18-25,Asian
10/11/2017,2017-October,496(A) PC,B/W FEL,,M,White,43,Receives Stolen Property,Penal Code - Larceny,36-45,White
10/11/2017,2017-October,148(a)(1) PC,243(b) PC,647(f) PC,M,White,50,Resist Arrest,Penal Code - Public Justice,46-55,White
10/13/2017,2017-October,211 PC,,,M,White,42,Robbery,Penal Code - Against person,36-45,White
10/14/2017,2017-October,23152(a) VC,23152(b) VC,23136(a) VC,M,Chinese,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
10/14/2017,2017-October,11364(a) HS,11377(A) HS,,M,White,36,Drug paraphernalia,Health & Safety,36-45,White
10/16/2017,2017-October,23152(f) VC,,,M,White,18,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
10/17/2017,2017-October,369I(A) PC,,,F,White,26,Railroad Trespass,Penal Code - Miscellaneous,26-35,White
10/17/2017,2017-October,496(A) PC,,,F,White,32,Receives Stolen Property,Penal Code - Larceny,26-35,White
10/19/2017,2017-October,11364(a) HS,,,F,White,45,Drug paraphernalia,Health & Safety,36-45,White
10/20/2017,2017-October,23152(a) VC,23152(b) VC,,M,Asian Indian,32,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Asian
10/20/2017,2017-October,647(f) PC,,,F,White,62,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,White
10/21/2017,2017-October,647(f) PC,,,M,White,19,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
10/23/2017,2017-October,417(A)(1) PC,647(f) PC,,M,Black,65,Display a weapon,Penal Code - Disturbing the Peace,56-65,African-Amer
10/23/2017,2017-October,647(f) PC,,,M,White,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
10/24/2017,2017-October,273.6(A) PC,,,M,Black,22,Violation of Protective Order,Penal Code - Against person,18-25,African-Amer
10/25/2017,2017-October,459.5 PC,,,M,White,18,Burglary,Penal Code - Property Crimes,18-25,White
10/25/2017,2017-October,466 PC,647(h) PC,,M,White,24,Burglary Tools,Penal Code - Property Crimes,18-25,White
10/27/2017,2017-October,23152(a) VC,23152(b) VC,,M,Other Asian,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Asian
10/28/2017,2017-October,647(h) PC,148(a)(1) PC,,M,White,21,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,18-25,White
10/29/2017,2017-October,490.5(A) PC,,,M,Black,21,Petty Theft,Penal Code - Larceny,18-25,African-Amer
10/29/2017,2017-October,23152(a) VC,23152(b) VC,,M,Other Asian,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
10/30/2017,2017-October,148(a)(1) PC,21453(a) VC,,M,Hispanic,43,Resist Arrest,Penal Code - Public Justice,36-45,Hispanic
11/01/2017,2017-November,148(a)(1) PC,243(b) PC,647(f) PC,M,White,29,Resist Arrest,Penal Code - Public Justice,26-35,White
11/02/2017,2017-November,11377(A) HS,,,M,Hispanic,33,Possession - controlled subst,Health & Safety,26-35,Hispanic
11/02/2017,2017-November,273A(B) PC,647(f) PC,,M,White,48,Child Injury,Penal Code - Against person,46-55,White
11/03/2017,2017-November,23152(b) VC,23152(a) VC,,M,Other,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
11/03/2017,2017-November,647(f) PC,,,M,White,59,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,White
11/04/2017,2017-November,647(f) PC,,,M,Black,38,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,African-Amer
11/04/2017,2017-November,647(f) PC,,,M,White,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
11/04/2017,2017-November,211 PC,417.4 PC,11364(a) HS,M,White,50,Robbery,Penal Code - Against person,46-55,White
11/06/2017,2017-November,14601.2(A) VC,148.9(A) PC,O/W FEL,F,Black,36,license violation,Vehicle Code,36-45,African-Amer
11/06/2017,2017-November,243(e)(1) PC,,,M,Other,24,Battery on a spouse/partner,Penal Code - Against person,18-25,Other
11/06/2017,2017-November,11377(A) HS,490.5(A) PC,,F,White,53,Possession - controlled subst,Health & Safety,46-55,White
11/07/2017,2017-November,647(f) PC,,,M,White,53,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
11/08/2017,2017-November,10851(A) VC,182(A)(1) PC,O/W MISD,F,Hispanic,30,car theft or tampering,Vehicle Code,26-35,Hispanic
11/08/2017,2017-November,10851(A) VC,182(A)(1) PC,,M,Hispanic,39,car theft or tampering,Vehicle Code,36-45,Hispanic
11/08/2017,2017-November,20001(A) VC,23153(a) VC,23153(b) VC,M,White,24,Hit and Run,Vehicle Code,18-25,White
11/09/2017,2017-November,11377(A) HS,,,M,White,31,Possession - controlled subst,Health & Safety,26-35,White
11/10/2017,2017-November,11364(a) HS,,,F,Korean,23,Drug paraphernalia,Health & Safety,18-25,Asian
11/10/2017,2017-November,148(a)(1) PC,594(b)(1) PC,602.5 PC,M,White,21,Resist Arrest,Penal Code - Public Justice,18-25,White
11/10/2017,2017-November,20002(A)(1) VC,23152(a) VC,23152(b) VC,M,White,22,Hit and Run,Vehicle Code,18-25,White
11/11/2017,2017-November,647(f) PC,,,M,Hispanic,31,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
11/11/2017,2017-November,23152(a) VC,23152(b) VC,23140(a) VC,M,White,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
11/15/2017,2017-November,289(D) PC,,,M,Hispanic,28,Rape,Penal Code - Against person,26-35,Hispanic
11/16/2017,2017-November,368(f) PC,,,M,Other Asian,25,Elder Abuse,Penal Code - Against person,18-25,Asian
11/16/2017,2017-November,23152(a) VC,23152(b) VC,,F,White,40,Drug or EtOH vehicle violtion,Vehicle Code,36-45,White
11/17/2017,2017-November,11377(A) HS,11364(a) HS,,M,Other,28,Possession - controlled subst,Health & Safety,26-35,Other
11/17/2017,2017-November,236 PC,243(e)(1) PC,,M,White,21,False Imprisonment,Penal Code - Against person,18-25,White
11/17/2017,2017-November,647(f) PC,,,M,White,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
11/17/2017,2017-November,11364(a) HS,11378 HS,11379(A) HS,M,White,43,Drug paraphernalia,Health & Safety,36-45,White
11/18/2017,2017-November,148(a)(1) PC,647(f) PC,,M,Hispanic,22,Resist Arrest,Penal Code - Public Justice,18-25,Hispanic
11/18/2017,2017-November,11364(a) HS,,,M,White,50,Drug paraphernalia,Health & Safety,46-55,White
11/19/2017,2017-November,23152(a) VC,23152(b) VC,,M,White,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
11/20/2017,2017-November,490.5(A) PC,,,M,Hispanic,21,Petty Theft,Penal Code - Larceny,18-25,Hispanic
11/20/2017,2017-November,23152(a) VC,23152(b) VC,,M,Hispanic,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
11/20/2017,2017-November,23152(a) VC,23152(b) VC,,M,White,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
11/22/2017,2017-November,496(A) PC,,,M,White,20,Receives Stolen Property,Penal Code - Larceny,18-25,White
11/23/2017,2017-November,496(A) PC,O/W FEL,,M,Filipino,42,Receives Stolen Property,Penal Code - Larceny,36-45,Asian
11/23/2017,2017-November,11364(a) HS,,,M,White,36,Drug paraphernalia,Health & Safety,36-45,White
11/25/2017,2017-November,23152(a) VC,23152(b) VC,,F,White,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
11/27/2017,2017-November,11350(A) HS,11364(a) HS,,M,White,38,Possession - controlled subst,Health & Safety,36-45,White
11/29/2017,2017-November,459 PC,182(A)(1) PC,32 PC,F,Other,32,Burglary,Penal Code - Property Crimes,26-35,Other
12/01/2017,2017-December,10851(A) VC,3056 PC,11377(A) HS,M,Black,36,car theft or tampering,Vehicle Code,36-45,African-Amer
12/01/2017,2017-December,647(f) PC,,,M,Hispanic,48,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,Hispanic
12/02/2017,2017-December,11364(a) HS,11377(A) HS,,M,White,22,Drug paraphernalia,Health & Safety,18-25,White
12/02/2017,2017-December,11377(A) HS,B/W MISD,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
12/02/2017,2017-December,11364(a) HS,,,M,White,33,Drug paraphernalia,Health & Safety,26-35,White
12/02/2017,2017-December,11364(a) HS,,,M,White,48,Drug paraphernalia,Health & Safety,46-55,White
12/03/2017,2017-December,647(f) PC,,,F,White,24,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
12/04/2017,2017-December,11377(A) HS,148(a)(1) PC,488 PC,M,White,32,Possession - controlled subst,Health & Safety,26-35,White
12/04/2017,2017-December,25400(c)(1) PC,30305(a)(1) PC,,M,White,32,Concealed firearm,Penal Code,26-35,White
12/05/2017,2017-December,11364(a) HS,11377(A) HS,,F,White,51,Drug paraphernalia,Health & Safety,46-55,White
12/07/2017,2017-December,647(f) PC,,,M,Black,33,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
12/07/2017,2017-December,1203.2(a) PC,,,M,White,34,Parole Violation,Penal Code,26-35,White
12/07/2017,2017-December,11364(a) HS,11377(A) HS,,M,White,46,Drug paraphernalia,Health & Safety,46-55,White
12/08/2017,2017-December,11364(a) HS,O/W MISD,,F,Hispanic,38,Drug paraphernalia,Health & Safety,36-45,Hispanic
12/08/2017,2017-December,11364(a) HS,,,M,Hispanic,41,Drug paraphernalia,Health & Safety,36-45,Hispanic
12/08/2017,2017-December,10851(A) VC,496(A) PC,,M,Hispanic,48,car theft or tampering,Vehicle Code,46-55,Hispanic
12/08/2017,2017-December,23152(a) VC,23152(b) VC,,M,White,28,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
12/08/2017,2017-December,11377(A) HS,B/W MISD,,M,White,38,Possession - controlled subst,Health & Safety,36-45,White
12/09/2017,2017-December,23152(a) VC,23152(b) VC,11377(A) HS,F,Black,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,African-Amer
12/09/2017,2017-December,11364(a) HS,,,M,White,21,Drug paraphernalia,Health & Safety,18-25,White
12/09/2017,2017-December,459 PC,,,F,White,32,Burglary,Penal Code - Property Crimes,26-35,White
12/10/2017,2017-December,647(f) PC,,,M,Black,32,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
12/10/2017,2017-December,20001(B)(1) VC,23153(a) VC,23153(b) VC,M,Hispanic,31,Hit and Run,Vehicle Code,26-35,Hispanic
12/10/2017,2017-December,459 PC,496(A) PC,594(b)(2)(A) PC,M,Hispanic,43,Burglary,Penal Code - Property Crimes,36-45,Hispanic
12/10/2017,2017-December,11364(a) HS,11377(A) HS,,F,White,22,Drug paraphernalia,Health & Safety,18-25,White
12/10/2017,2017-December,29800(b) PC,30305(a)(1) PC,11378 HS,M,White,33,Poss Firearm Felon,Penal Code - Weapons,26-35,White
12/11/2017,2017-December,14601.1(A) VC,,,M,Black,35,license violation,Vehicle Code,26-35,African-Amer
12/13/2017,2017-December,3056 PC,148(a)(1) PC,369I(A) PC,M,Filipino,42,Parole Violation,Penal Code,36-45,Asian
12/13/2017,2017-December,148(a)(1) PC,369I(A) PC,O/W MISD,M,White,23,Resist Arrest,Penal Code - Public Justice,18-25,White
12/15/2017,2017-December,647(f) PC,,,M,White,41,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
12/18/2017,2017-December,10851(A) VC,,,M,White,32,car theft or tampering,Vehicle Code,26-35,White
12/19/2017,2017-December,23152(a) VC,23152(b) VC,,M,Hispanic,38,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Hispanic
12/20/2017,2017-December,11350(A) HS,11364(a) HS,B/W MISD,M,Black,32,Possession - controlled subst,Health & Safety,26-35,African-Amer
12/20/2017,2017-December,O/W MISD,,,F,White,49,,Penal Code,46-55,White
12/20/2017,2017-December,11377(A) HS,11364(a) HS,,M,White,61,Possession - controlled subst,Health & Safety,56-65,White
12/21/2017,2017-December,496(A) PC,11377(A) HS,496(A) PC,F,White,32,Receives Stolen Property,Penal Code - Larceny,26-35,White
12/21/2017,2017-December,21310 PC,647(f) PC,B/W MISD,M,White,55,Illegal possession of a dirk/dagger,Penal Code - Weapons,46-55,White
12/22/2017,2017-December,11350(A) HS,11377(A) HS,11364(a) HS,M,Black,32,Possession - controlled subst,Health & Safety,26-35,African-Amer
12/22/2017,2017-December,166(A)(4) PC,11364(a) HS,,M,Black,39,Violation of a Court Order,Penal Code - Public Justice,36-45,African-Amer
12/22/2017,2017-December,647(h) PC,,,M,White,30,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,26-35,White
12/24/2017,2017-December,11364(a) HS,,,M,Black,40,Drug paraphernalia,Health & Safety,36-45,African-Amer
12/24/2017,2017-December,23152(a) VC,23152(b) VC,11377(A) HS,M,Hispanic,33,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
12/26/2017,2017-December,594(b)(1) PC,496(A) PC,466 PC,M,Black,28,Vandalism,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
12/26/2017,2017-December,459 PC,,,M,Hispanic,23,Burglary,Penal Code - Property Crimes,18-25,Hispanic
12/26/2017,2017-December,488 PC,,,M,White,20,Petty Theft,Penal Code - Larceny,18-25,White
12/28/2017,2017-December,11377(A) HS,,466 PC,M,Black,47,Possession - controlled subst,Health & Safety,46-55,African-Amer
12/28/2017,2017-December,243(e)(1) PC,13700 PC,,M,Chinese,22,Battery on a spouse/partner,Penal Code - Against person,18-25,Asian
12/28/2017,2017-December,496(A) PC,466 PC,488 PC,M,White,31,Receives Stolen Property,Penal Code - Larceny,26-35,White
12/28/2017,2017-December,466 PC,14601.1(A) VC,,M,White,36,Burglary Tools,Penal Code - Property Crimes,36-45,White
12/28/2017,2017-December,459 PC,,,F,White,40,Burglary,Penal Code - Property Crimes,36-45,White
12/30/2017,2017-December,11377(A) HS,,,M,White,22,Possession - controlled subst,Health & Safety,18-25,White
12/30/2017,2017-December,417(A)(1) PC,422 PC,459 PC,M,White,23,Display a weapon,Penal Code - Disturbing the Peace,18-25,White
12/31/2017,2017-December,182(A)(1) PC,272 PC,487(A) PC,M,Other,19,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,Other
12/31/2017,2017-December,11364(a) HS,11377(A) HS,1203.2(a) PC,M,White,35,Drug paraphernalia,Health & Safety,26-35,White
01/01/2018,2018-January,23152(a) VC,23152(b) VC,,F,Hispanic,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
01/03/2018,2018-January,594(b)(1) PC,,,M,White,38,Vandalism,Penal Code - Mal Misch & Disord Cond,36-45,White
01/04/2018,2018-January,11377(A) HS,,,M,White,49,Possession - controlled subst,Health & Safety,46-55,White
01/05/2018,2018-January,11377(A) HS,,,M,Black,32,Possession - controlled subst,Health & Safety,26-35,African-Amer
01/05/2018,2018-January,11364(a) HS,,,F,Black,56,Drug paraphernalia,Health & Safety,56-65,African-Amer
01/05/2018,2018-January,11364(a) HS,,,M,Black,62,Drug paraphernalia,Health & Safety,56-65,African-Amer
01/05/2018,2018-January,11375(b)(2) HS,,,F,Hispanic,22,Possession for sale - contr subst,Health & Safety,18-25,Hispanic
01/05/2018,2018-January,11364(a) HS,,,M,White,37,Drug paraphernalia,Health & Safety,36-45,White
01/05/2018,2018-January,11364(a) HS,,,F,White,45,Drug paraphernalia,Health & Safety,36-45,White
01/05/2018,2018-January,11350(A) HS,,,F,Unknown,32,Possession - controlled subst,Health & Safety,26-35,
01/07/2018,2018-January,488 PC,,,M,Black,29,Petty Theft,Penal Code - Larceny,26-35,African-Amer
01/07/2018,2018-January,23152(a) VC,23152(b) VC,O/W MISD,M,Hispanic,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
01/08/2018,2018-January,245(A)(1) PC,,,M,White,34,Assault with a deadly weapon,Penal Code - Against person,26-35,White
01/10/2018,2018-January,11377(A) HS,,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
01/10/2018,2018-January,11364(a) HS,,,F,White,30,Drug paraphernalia,Health & Safety,26-35,White
01/11/2018,2018-January,647(f) PC,,,M,White,25,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
01/13/2018,2018-January,23152(a) VC,23152(b) VC,,M,White,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
01/13/2018,2018-January,11377(A) HS,,,F,White,36,Possession - controlled subst,Health & Safety,36-45,White
01/14/2018,2018-January,21310 PC,,,M,Black,40,Illegal possession of a dirk/dagger,Penal Code - Weapons,36-45,African-Amer
01/14/2018,2018-January,11350(A) HS,,,M,Other Asian,21,Possession - controlled subst,Health & Safety,18-25,Asian
01/14/2018,2018-January,647(f) PC,,,M,Other Asian,34,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Asian
01/14/2018,2018-January,647(f) PC,,,M,White,18,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
01/14/2018,2018-January,11377(A) HS,1203.2(a) PC,,M,White,46,Possession - controlled subst,Health & Safety,46-55,White
01/15/2018,2018-January,459 PC,530.5(a) PC,368(d) PC,M,White,33,Burglary,Penal Code - Property Crimes,26-35,White
01/18/2018,2018-January,23152(a) VC,23152(b) VC,,M,White,29,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
01/18/2018,2018-January,11364(a) HS,,,M,White,33,Drug paraphernalia,Health & Safety,26-35,White
01/18/2018,2018-January,11377(A) HS,,,M,White,58,Possession - controlled subst,Health & Safety,56-65,White
01/19/2018,2018-January,459.5 PC,,,F,Hispanic,26,Burglary,Penal Code - Property Crimes,26-35,Hispanic
01/20/2018,2018-January,14601.1(A) VC,,,M,Black,47,license violation,Vehicle Code,46-55,African-Amer
01/20/2018,2018-January,490.5(A) PC,,,M,White,52,Petty Theft,Penal Code - Larceny,46-55,White
01/22/2018,2018-January,496(A) PC,11364(a) HS,,M,White,32,Receives Stolen Property,Penal Code - Larceny,26-35,White
01/27/2018,2018-January,166(C)(1) PC,,,M,White,35,Violation of a Protective Order,Penal Code - Public Justice,26-35,White
01/28/2018,2018-January,488 PC,594(b)(2)(A) PC,,M,White,29,Petty Theft,Penal Code - Larceny,26-35,White
01/29/2018,2018-January,29800(a)(1) PC,487(d)(2) PC,496(A) PC,M,Other,28,Poss Firearm Felon,Penal Code - Weapons,26-35,Other
01/29/2018,2018-January,211 PC,,,M,White,21,Robbery,Penal Code - Against person,18-25,White
01/29/2018,2018-January,11350(A) HS,,,M,White,28,Possession - controlled subst,Health & Safety,26-35,White
01/30/2018,2018-January,14601.2(A) VC,,,M,Other,29,license violation,Vehicle Code,26-35,Other
01/31/2018,2018-January,11377(A) HS,11375(b)(2) HS,11364(a) HS,M,Black,32,Possession - controlled subst,Health & Safety,26-35,African-Amer
01/31/2018,2018-January,11377(A) HS,11364(a) HS,,M,White,31,Possession - controlled subst,Health & Safety,26-35,White
01/31/2018,2018-January,459 PC,182(A)(1) PC,,F,White,46,Burglary,Penal Code - Property Crimes,46-55,White
02/01/2018,2018-February,11377(A) HS,14601.1(A) VC,,M,White,42,Possession - controlled subst,Health & Safety,36-45,White
02/02/2018,2018-February,23152(a) VC,23152(a) VC,,M,Hispanic,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
02/02/2018,2018-February,11377(A) HS,11364(a) HS,,M,White,32,Possession - controlled subst,Health & Safety,26-35,White
02/03/2018,2018-February,23152(f) VC,14601.1(A) VC,,M,Hispanic,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
02/03/2018,2018-February,11377(A) HS,,,M,White,56,Possession - controlled subst,Health & Safety,56-65,White
02/05/2018,2018-February,647(f) PC,,,M,Black,20,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,African-Amer
02/06/2018,2018-February,647(h) PC,,,M,Black,42,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,36-45,African-Amer
02/07/2018,2018-February,11364(a) HS,,,M,Filipino,42,Drug paraphernalia,Health & Safety,36-45,Asian
02/08/2018,2018-February,211 PC,243(d) PC,,M,Black,23,Robbery,Penal Code - Against person,18-25,African-Amer
02/08/2018,2018-February,11364(a) HS,11377(A) HS,647(h) PC,M,Hispanic,37,Drug paraphernalia,Health & Safety,36-45,Hispanic
02/08/2018,2018-February,647(f) PC,,,F,White,24,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
02/08/2018,2018-February,11364(a) HS,459.5 PC,,M,White,49,Drug paraphernalia,Health & Safety,46-55,White
02/09/2018,2018-February,647(f) PC,,,M,White,22,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,White
02/10/2018,2018-February,10851(A) VC,,,F,Black,24,car theft or tampering,Vehicle Code,18-25,African-Amer
02/10/2018,2018-February,11364(a) HS,11377(A) HS,O/W MISD,M,Hispanic,31,Drug paraphernalia,Health & Safety,26-35,Hispanic
02/10/2018,2018-February,23152(a) VC,23152(b) VC,,M,White,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
02/10/2018,2018-February,490.5(A) PC,,,F,White,37,Petty Theft,Penal Code - Larceny,36-45,White
02/12/2018,2018-February,11377(A) HS,11364(a) HS,,M,White,34,Possession - controlled subst,Health & Safety,26-35,White
02/13/2018,2018-February,242 PC,,,F,Black,18,Battery,Penal Code - Against person,18-25,African-Amer
02/14/2018,2018-February,10852 VC,488 PC,485 PC,F,White,33,car theft or tampering,Vehicle Code,26-35,White
02/14/2018,2018-February,20002(A)(2) VC,23152(a) VC,23152(b) VC,M,White,35,Hit and Run,Vehicle Code,26-35,White
02/15/2018,2018-February,23152(a) VC,23152(b) VC,,M,White,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
02/15/2018,2018-February,11364(a) HS,11377(A) HS,487(A) PC,F,White,38,Drug paraphernalia,Health & Safety,36-45,White
02/17/2018,2018-February,273.5(A) PC,273A(B) PC,,M,Other Asian,33,Corporal Injury spouse/partner,Penal Code - Against person,26-35,Asian
02/19/2018,2018-February,236 PC,273.5(A) PC,,F,White,22,False Imprisonment,Penal Code - Against person,18-25,White
02/19/2018,2018-February,647(f) PC,,,M,White,44,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
02/20/2018,2018-February,422 PC,459 PC,182(A)(1) PC,M,Black,29,Criminal Threats,Penal Code - Threats,26-35,African-Amer
02/21/2018,2018-February,503 PC,508,,M,White,63,Embezzlement,Penal Code - Property Crimes,56-65,White
02/23/2018,2018-February,1203.2(a) PC,236 PC,273.5(A) PC,M,White,30,Parole Violation,Penal Code,26-35,White
02/24/2018,2018-February,11377(A) HS,459.5 PC,,F,White,40,Possession - controlled subst,Health & Safety,36-45,White
02/26/2018,2018-February,11377(A) HS,11364(a) HS,,M,White,56,Possession - controlled subst,Health & Safety,56-65,White
02/28/2018,2018-February,11377(A) HS,11364(a) HS,,M,Hispanic,37,Possession - controlled subst,Health & Safety,36-45,Hispanic
03/01/2018,2018-March,243(d) PC,,,M,White,22,Battery on a person,Penal Code - Against person,18-25,White
03/01/2018,2018-March,10851(A) VC,290.012(a) PC,290.013(b) PC,M,White,29,car theft or tampering,Vehicle Code,26-35,White
